scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,6,800,0.01683798690970623,0.02,0.7143901473185853,1.1075553558518274,0.2938384697413809,0.032847404037448256,0.10161770973599976
1,1,7,100,0.020375934772056577,0.02,0.0,1.010028323617548,0.48105926796897686,0.028396961846277206,0.09044371085190539
1,1,7,150,0.020727035102110675,0.02,0.0,1.0387720335327608,0.5408773845551195,0.03795094545611511,0.11830870826413414
1,1,7,200,0.0220219073672523,0.02,0.0,1.0936007798510807,0.5532383406784778,0.03422374790467599,0.11116891672123251
1,1,7,250,0.022433000782983405,0.02,0.0,1.1151782509696466,0.5762326491294091,0.03279784084967465,0.11931171421447079
1,1,7,300,0.022074491580174202,0.02,0.0,1.108599867129369,0.6285705701117679,0.03490812198358884,0.10478131604299067
1,1,7,350,0.02239789975550865,0.02,0.0,1.1165184347909567,0.6729646340921677,0.03931953498502162,0.10303057622677007
1,1,7,400,0.02186506938123165,0.02,0.0,1.0893046338893149,0.6687640312249683,0.0314825542298961,0.0958491807172138
1,1,7,450,0.02277619413006813,0.02,0.0,1.1410518737395747,0.7438232854821133,0.030409974409344016,0.10225989313143435
1,1,7,500,0.023347551031325613,0.02,0.0,1.1633758849094853,0.7658083386857503,0.02928664397638568,0.11223985019487916
1,1,7,550,0.03994486888175892,0.02,0.0005864180620280876,1.1624866514738952,0.8519754484382603,0.03231361725661352,0.12013091563745289
1,1,7,600,0.023426992970310027,0.02,0.0,1.1769914814462685,0.8452377252626408,0.030563093558493532,0.09804710538047254
1,1,7,650,0.040464357198307946,0.02,0.0055712627208498585,1.2016405292085468,0.7850341580705896,0.030127059568855672,0.1107025757315088
1,1,7,700,0.024598597681515053,0.02,0.0,1.2226595714429176,0.8488842802225727,0.026766290949050343,0.11476363886284366
1,1,7,750,0.005299751137704963,0.02,0.010531244123136503,1.1783600173496047,0.9007137764011331,0.029723452406931673,0.10946938374321112
1,1,7,800,0.02217598868212952,0.02,0.0,1.1070890640600575,0.8974596943526897,0.030305558492551836,0.11272216017043034
1,1,8,100,0.01932799434108105,0.02,0.0,0.9667843995658776,0.6989651734992735,0.03553568592825369,0.11656633508471746
